grau;id_orgao_julgador;procedimento;anomes;quantidade_baixados;quantidade_remetidos_ent;quantidade_remetidos_saida;quantidade_novos;quantidade_baixados_12m;quantidade_remetidos_ent_12m;quantidade_remetidos_saida_12m;quantidade_novos_12m
G1;116740030001;Conhecimento;202503;76;3;2;93;945;42;20;919
G1;116740030001;Execução de Título Extrajudicial;202503;2;0;0;13;93;1;1;88
G1;116740030001;Execução Judicial;202504;24;5;1;17;239;31;19;219
G1;116740030001;Execução de Título Extrajudicial;202504;5;1;1;5;95;2;2;88
G1;116740030001;Conhecimento;202504;72;5;1;76;931;43;20;904
G1;116740030001;Execução de Título Extrajudicial;202505;12;0;0;4;104;1;1;87
G1;116740030001;Execução Judicial;202505;17;0;0;11;244;29;15;213
G1;116740030001;Conhecimento;202505;91;3;2;96;948;42;19;913
G1;116740030001;Conhecimento;202506;39;7;3;74;924;47;21;936
G1;116740030001;Execução de Título Extrajudicial;202506;0;0;0;6;97;1;1;89
G1;116740030001;Execução Judicial;202506;12;5;1;19;241;33;16;218
G1;116740030001;Execução Judicial;202507;20;1;0;33;242;29;8;228
G1;116740030001;Conhecimento;202507;115;3;3;87;910;47;22;956
G1;116740030001;Execução de Título Extrajudicial;202507;4;0;0;8;89;1;1;93
G1;116740030001;Execução de Título Extrajudicial;202508;2;0;0;26;82;1;1;106
G1;116740030001;Conhecimento;202508;51;3;0;86;878;46;20;945
G1;116740030001;Execução Judicial;202508;17;4;0;18;239;31;7;231
G1;116740030001;Execução Judicial;202509;29;5;2;19;252;35;9;219
G1;116740030001;Execução de Título Extrajudicial;202509;2;0;0;11;63;1;1;109
G1;116740030001;Conhecimento;202509;40;1;1;80;848;44;19;960
G1;116740030001;Conhecimento;202510;76;1;1;87;851;40;18;979
G1;116740030001;Execução Judicial;202510;19;5;1;12;249;37;10;215
G1;116740030001;Execução de Título Extrajudicial;202510;6;0;0;7;53;1;1;105
G1;116740030001;Execução de Título Extrajudicial;202511;2;1;1;2;49;2;2;100
